Time,NumberHits
"2024-12-10 11:44:11",5
"2024-12-10 11:44:14",5
"2024-12-10 11:44:15",11
"2024-12-10 11:44:16",2
"2024-12-10 11:44:19",3
"2024-12-10 11:44:20",8
"2024-12-10 11:44:21",8
"2024-12-10 11:44:24",3
"2024-12-10 11:44:25",10
"2024-12-10 11:44:26",5
"2024-12-10 11:44:27",1
"2024-12-10 11:44:29",1
"2024-12-10 11:44:30",11
"2024-12-10 11:44:31",8
"2024-12-10 11:44:32",1
"2024-12-10 11:44:34",3
"2024-12-10 11:44:35",13
"2024-12-10 11:44:36",6
"2024-12-10 11:44:39",4
"2024-12-10 11:44:40",11
"2024-12-10 11:44:41",3
"2024-12-10 11:44:44",3
"2024-12-10 11:44:45",7
"2024-12-10 11:44:46",8
"2024-12-10 11:44:47",1
"2024-12-10 11:44:49",3
"2024-12-10 11:44:50",10
"2024-12-10 11:44:51",5
"2024-12-10 11:44:52",1
"2024-12-10 11:44:54",1
"2024-12-10 11:44:55",11
"2024-12-10 11:44:56",8
"2024-12-10 11:44:57",1
"2024-12-10 11:44:59",1
"2024-12-10 11:45:00",16
"2024-12-10 11:45:01",5
"2024-12-10 11:45:04",6
"2024-12-10 11:45:05",9
"2024-12-10 11:45:06",3
"2024-12-10 11:45:09",5
"2024-12-10 11:45:10",4
"2024-12-10 11:45:11",10
"2024-12-10 11:45:14",3
"2024-12-10 11:45:15",10
"2024-12-10 11:45:16",6
"2024-12-10 11:45:19",1
"2024-12-10 11:45:20",10
"2024-12-10 11:45:21",8
"2024-12-10 11:45:22",2
"2024-12-10 11:45:24",2
"2024-12-10 11:45:25",15
"2024-12-10 11:45:26",4
"2024-12-10 11:45:27",1
"2024-12-10 11:45:29",4
"2024-12-10 11:45:30",11
"2024-12-10 11:45:31",3
"2024-12-10 11:45:34",4
"2024-12-10 11:45:35",7
"2024-12-10 11:45:36",8
"2024-12-10 11:45:39",3
"2024-12-10 11:45:40",10
"2024-12-10 11:45:41",5
"2024-12-10 11:45:42",1
"2024-12-10 11:45:44",1
"2024-12-10 11:45:45",10
"2024-12-10 11:45:46",10
"2024-12-10 11:45:49",1
"2024-12-10 11:45:50",16
"2024-12-10 11:45:51",4
"2024-12-10 11:45:52",1
"2024-12-10 11:45:54",5
"2024-12-10 11:45:55",10
"2024-12-10 11:45:56",3
"2024-12-10 11:45:59",4
"2024-12-10 11:46:00",6
"2024-12-10 11:46:01",7
"2024-12-10 11:46:02",2
"2024-12-10 11:46:04",4
"2024-12-10 11:46:05",9
"2024-12-10 11:46:06",6
"2024-12-10 11:46:09",1
"2024-12-10 11:46:10",10
"2024-12-10 11:46:11",9
"2024-12-10 11:46:12",1
"2024-12-10 11:46:14",1
"2024-12-10 11:46:15",16
"2024-12-10 11:46:16",4
"2024-12-10 11:46:17",1
"2024-12-10 11:46:19",4
"2024-12-10 11:46:20",10
"2024-12-10 11:46:21",4
"2024-12-10 11:46:24",3
"2024-12-10 11:46:25",7
"2024-12-10 11:46:26",9
"2024-12-10 11:46:29",3
"2024-12-10 11:46:30",10
"2024-12-10 11:46:31",6
"2024-12-10 11:46:34",1
"2024-12-10 11:46:35",10
"2024-12-10 11:46:36",7
"2024-12-10 11:46:37",3
"2024-12-10 11:46:39",1
"2024-12-10 11:46:40",16
"2024-12-10 11:46:41",5
"2024-12-10 11:46:44",4
"2024-12-10 11:46:45",10
"2024-12-10 11:46:46",4
"2024-12-10 11:46:49",3
"2024-12-10 11:46:50",7
"2024-12-10 11:46:51",9
"2024-12-10 11:46:54",3
"2024-12-10 11:46:55",10
"2024-12-10 11:46:56",5
"2024-12-10 11:46:57",1
"2024-12-10 11:46:59",1
"2024-12-10 11:47:00",12
"2024-12-10 11:47:01",6
"2024-12-10 11:47:02",2
"2024-12-10 11:47:05",17
"2024-12-10 11:47:06",5
"2024-12-10 11:47:09",4
"2024-12-10 11:47:10",11
"2024-12-10 11:47:11",3
"2024-12-10 11:47:14",4
"2024-12-10 11:47:15",6
"2024-12-10 11:47:16",9
"2024-12-10 11:47:19",4
"2024-12-10 11:47:20",9
"2024-12-10 11:47:21",5
"2024-12-10 11:47:22",1
"2024-12-10 11:47:24",1
"2024-12-10 11:47:25",12
"2024-12-10 11:47:26",8
"2024-12-10 11:47:29",3
"2024-12-10 11:47:30",13
"2024-12-10 11:47:31",6
"2024-12-10 11:47:34",5
"2024-12-10 11:47:35",11
"2024-12-10 11:47:36",3
"2024-12-10 11:47:39",4
"2024-12-10 11:47:40",7
"2024-12-10 11:47:41",6
"2024-12-10 11:47:42",2
"2024-12-10 11:47:44",3
"2024-12-10 11:47:45",10
"2024-12-10 11:47:46",5
"2024-12-10 11:47:47",1
"2024-12-10 11:47:49",2
"2024-12-10 11:47:50",9
"2024-12-10 11:47:51",9
"2024-12-10 11:47:54",2
"2024-12-10 11:47:55",13
"2024-12-10 11:47:56",7
"2024-12-10 11:47:59",3
"2024-12-10 11:48:00",12
"2024-12-10 11:48:01",4
"2024-12-10 11:48:04",3
"2024-12-10 11:48:05",8
"2024-12-10 11:48:06",6
"2024-12-10 11:48:07",2
"2024-12-10 11:48:09",4
"2024-12-10 11:48:10",9
"2024-12-10 11:48:11",6
"2024-12-10 11:48:14",2
"2024-12-10 11:48:15",9
"2024-12-10 11:48:16",8
"2024-12-10 11:48:17",1
"2024-12-10 11:48:20",15
"2024-12-10 11:48:21",5
"2024-12-10 11:48:22",2
"2024-12-10 11:48:24",3
